Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2900.000000,3000.000000,2495.000000,2500.000000,1936.374023,30801700
2000-02-01,2515.000000,2600.000000,2250.000000,2400.000000,1858.919189,33283100
2000-03-01,2425.000000,2510.000000,2230.000000,2250.000000,1742.736816,29391500
2000-04-01,2260.000000,2580.000000,2255.000000,2550.000000,2005.355347,34029500
2000-05-01,2550.000000,2815.000000,2540.000000,2690.000000,2115.452881,31519800
2000-06-01,2690.000000,2765.000000,2425.000000,2585.000000,2032.879639,28459100
2000-07-01,2545.000000,2595.000000,2480.000000,2585.000000,2032.879639,27000600
2000-08-01,2565.000000,2630.000000,2385.000000,2385.000000,1875.596680,29797700
2000-09-01,2400.000000,2545.000000,2330.000000,2545.000000,2001.422485,29752300
2000-10-01,2545.000000,2650.000000,2500.000000,2650.000000,2109.410645,28245800
2000-11-01,2630.000000,2700.000000,2580.000000,2620.000000,2085.530762,30205200
2000-12-01,2620.000000,2925.000000,2500.000000,2835.000000,2256.671143,42860000
2001-01-01,2835.000000,2880.000000,2520.000000,2550.000000,2029.810303,41534600
2001-02-01,2520.000000,2815.000000,2500.000000,2785.000000,2216.871094,36875200
2001-03-01,2785.000000,2945.000000,2660.000000,2790.000000,2220.852051,43881800
2001-04-01,2790.000000,2950.000000,2730.000000,2950.000000,2372.800537,27923500
2001-05-01,2950.000000,3050.000000,2880.000000,3040.000000,2445.190918,19700105
2001-06-01,3020.000000,3300.000000,2970.000000,3230.000000,2598.015869,46985900
2001-07-01,3210.000000,3430.000000,2835.000000,2945.000000,2368.779297,43635600
2001-08-01,2945.000000,3300.000000,2835.000000,3070.000000,2469.321045,49205200
2001-09-01,3090.000000,3300.000000,2845.000000,2860.000000,2300.410156,56662200
2001-10-01,3010.000000,3170.000000,2995.000000,3040.000000,2468.258789,44338400
2001-11-01,3020.000000,3030.000000,2600.000000,2835.000000,2301.813965,47545300
2001-12-01,2815.000000,2815.000000,2595.000000,2790.000000,2265.277344,43499800
2002-01-01,2790.000000,2790.000000,2540.000000,2600.000000,2111.010498,30205200
2002-02-01,2640.000000,2645.000000,2500.000000,2530.000000,2054.176514,37228500
2002-03-01,2560.000000,2625.000000,2480.000000,2480.000000,2013.579590,59347100
2002-04-01,2460.000000,2480.000000,2340.000000,2340.000000,1922.305664,39592300
2002-05-01,2345.000000,2675.000000,2300.000000,2600.000000,2135.894775,58867000
2002-06-01,2605.000000,2620.000000,2370.000000,2465.000000,2024.993042,42127600
2002-07-01,2475.000000,2555.000000,2410.000000,2435.000000,2000.348267,43090600
2002-08-01,2465.000000,2640.000000,2420.000000,2445.000000,2008.563354,40703000
2002-09-01,2415.000000,2420.000000,2155.000000,2200.000000,1807.295898,64177200
2002-10-01,2210.000000,2335.000000,2205.000000,2265.000000,1884.963257,39511500
2002-11-01,2275.000000,2285.000000,2005.000000,2080.000000,1731.003906,47609300
2002-12-01,2080.000000,2270.000000,2005.000000,2255.000000,1876.641357,56739900
2003-01-01,2255.000000,2310.000000,2190.000000,2240.000000,1864.158081,31989000
2003-02-01,2235.000000,2390.000000,2225.000000,2275.000000,1893.285278,35795700
2003-03-01,2265.000000,2380.000000,2235.000000,2265.000000,1884.963257,38261500
2003-04-01,2280.000000,2430.000000,2260.000000,2420.000000,2039.998901,37807900
2003-05-01,2400.000000,2515.000000,2385.000000,2415.000000,2035.783813,31314200
2003-06-01,2390.000000,2420.000000,2280.000000,2295.000000,1934.627075,43455500
2003-07-01,2320.000000,2335.000000,2225.000000,2265.000000,1909.338013,61756400
2003-08-01,2270.000000,2320.000000,2250.000000,2270.000000,1913.552490,41663100
2003-09-01,2275.000000,2565.000000,2260.000000,2390.000000,2014.709839,61920800
2003-10-01,2370.000000,2495.000000,2305.000000,2345.000000,2000.215698,44192100
2003-11-01,2345.000000,2350.000000,2200.000000,2270.000000,1936.243042,40508600
2003-12-01,2270.000000,2415.000000,2260.000000,2350.000000,2004.481201,39552600
2004-01-01,2350.000000,2420.000000,2310.000000,2400.000000,2047.129150,36823200
2004-02-01,2405.000000,2440.000000,2330.000000,2400.000000,2047.129150,35690000
2004-03-01,2405.000000,2440.000000,2350.000000,2355.000000,2008.745361,56302800
2004-04-01,2360.000000,2420.000000,2310.000000,2365.000000,2042.596436,46522800
2004-05-01,2365.000000,2415.000000,2300.000000,2410.000000,2081.462402,37857300
2004-06-01,2415.000000,2515.000000,2395.000000,2475.000000,2137.601563,46739400
2004-07-01,2495.000000,2525.000000,2450.000000,2525.000000,2180.784912,39627400
2004-08-01,2525.000000,2565.000000,2470.000000,2525.000000,2180.784912,37556500
2004-09-01,2520.000000,2540.000000,2370.000000,2370.000000,2046.914795,42226600
2004-10-01,2360.000000,2435.000000,2330.000000,2400.000000,2098.363525,46753300
2004-11-01,2380.000000,2470.000000,2380.000000,2460.000000,2150.822510,26706300
2004-12-01,2440.000000,2515.000000,2425.000000,2515.000000,2198.909912,36424100
2005-01-01,2515.000000,2520.000000,2440.000000,2470.000000,2159.565430,33614900
2005-02-01,2485.000000,2560.000000,2455.000000,2560.000000,2238.254395,36160900
2005-03-01,2550.000000,2625.000000,2545.000000,2600.000000,2273.226807,51630500
2005-04-01,2600.000000,2600.000000,2470.000000,2520.000000,2228.950684,40449200
2005-05-01,2505.000000,2580.000000,2500.000000,2545.000000,2251.063232,34269200
2005-06-01,2535.000000,2650.000000,2530.000000,2645.000000,2339.513428,40989700
2005-07-01,2645.000000,2700.000000,2620.000000,2690.000000,2379.316162,31246900
2005-08-01,2705.000000,2720.000000,2630.000000,2720.000000,2405.851807,47206100
2005-09-01,2720.000000,2950.000000,2710.000000,2870.000000,2538.527832,47202800
2005-10-01,2890.000000,2910.000000,2785.000000,2885.000000,2578.147461,55360600
2005-11-01,2895.000000,2920.000000,2830.000000,2880.000000,2573.679199,47408600
2005-12-01,2880.000000,2905.000000,2830.000000,2865.000000,2560.274658,56176800
2006-01-01,2865.000000,2955.000000,2760.000000,2950.000000,2636.233643,62559300
2006-02-01,2935.000000,3150.000000,2890.000000,3140.000000,2806.025391,63081100
2006-03-01,3110.000000,3230.000000,2930.000000,2935.000000,2622.829102,66687700
2006-04-01,2960.000000,3070.000000,2865.000000,2925.000000,2640.119385,57824300
2006-05-01,2950.000000,3150.000000,2950.000000,3080.000000,2780.022461,64845900
2006-06-01,3090.000000,3160.000000,2830.000000,3160.000000,2852.231201,68148300
2006-07-01,3160.000000,3190.000000,3010.000000,3080.000000,2780.022461,55125500
2006-08-01,3090.000000,3350.000000,3010.000000,3350.000000,3023.726318,63046100
2006-09-01,3320.000000,3460.000000,3220.000000,3400.000000,3068.856445,68820000
2006-10-01,3400.000000,3520.000000,3380.000000,3400.000000,3096.925293,56371800
2006-11-01,3420.000000,3610.000000,3350.000000,3610.000000,3288.205811,62579700
2006-12-01,3590.000000,3960.000000,3580.000000,3850.000000,3506.812256,68745400
2007-01-01,3850.000000,4220.000000,3790.000000,4110.000000,3743.636230,79025300
2007-02-01,4030.000000,4530.000000,3990.000000,4130.000000,3761.853271,132358500
2007-03-01,4120.000000,4370.000000,3900.000000,4030.000000,3670.767334,101981600
2007-04-01,4060.000000,4190.000000,3950.000000,3980.000000,3659.750244,79846100
2007-05-01,3990.000000,4100.000000,3800.000000,4050.000000,3724.117676,85101400
2007-06-01,4100.000000,4140.000000,3810.000000,3960.000000,3641.359619,85423400
2007-07-01,3950.000000,4050.000000,3150.000000,3170.000000,2914.926514,168325100
2007-08-01,3220.000000,3320.000000,2990.000000,3040.000000,2795.386719,163487700
2007-09-01,3050.000000,3120.000000,2770.000000,2900.000000,2666.652344,103801900
2007-10-01,2880.000000,2950.000000,2695.000000,2920.000000,2718.075195,117985700
2007-11-01,2920.000000,3043.040039,2695.000000,3030.000000,2820.468262,124411400
2007-12-01,3016.520020,3180.000000,2850.000000,2890.000000,2690.149902,70376500
2008-01-01,2890.000000,2890.000000,2682.000000,2760.000000,2569.139404,105426800
2008-02-01,2760.000000,2890.000000,2680.000000,2695.000000,2508.634277,83289000
2008-03-01,2644.000000,2745.000000,2515.000000,2665.000000,2480.708984,96203200
2008-04-01,2665.000000,2840.000000,2645.000000,2645.000000,2489.964600,73215600
2008-05-01,2597.000000,2700.000000,2466.000000,2570.000000,2419.360840,81034100
2008-06-01,2570.000000,2730.000000,2500.000000,2730.000000,2569.982422,105977700
2008-07-01,2730.000000,2975.000000,2690.000000,2975.000000,2800.622070,114527100
2008-08-01,2978.000000,3140.000000,2978.000000,3120.000000,2937.122559,102935200
2008-09-01,3120.000000,3230.000000,2590.000000,2590.000000,2438.188477,138358000
2008-10-01,2685.000000,2876.000000,2235.000000,2770.000000,2637.047363,173246200
2008-11-01,2770.000000,3082.000000,2770.000000,2835.000000,2698.927490,108914300
