Date,Open,High,Low,Close,Adj Close,Volume
1995-08-01,33.333302,33.333302,22.083300,29.666700,0.008633,262800
1995-09-01,28.750000,28.750000,27.916700,27.916700,0.008124,16800
1995-10-01,28.250000,28.250000,28.250000,28.250000,0.008221,2400
1995-11-01,null,null,null,null,null,null
1995-12-01,25.000000,25.000000,22.916700,22.916700,0.006669,7200
1996-01-01,null,null,null,null,null,null
1996-02-01,25.000000,25.000000,25.000000,25.000000,0.007275,2400
1996-03-01,29.583300,31.250000,29.583300,31.250000,0.009094,4800
1996-04-01,32.083302,32.083302,31.250000,31.250000,0.009094,1363200
1996-05-01,30.833300,32.916698,29.166700,32.916698,0.009579,1348800
1996-06-01,32.500000,32.500000,30.416700,31.250000,0.009094,338400
1996-07-01,null,null,null,null,null,null
1996-08-01,null,null,null,null,null,null
1996-09-01,26.666700,26.666700,26.666700,26.666700,0.007760,2400
1996-10-01,26.666700,26.666700,26.458300,26.458300,0.007700,4800
1996-11-01,null,null,null,null,null,null
1996-12-01,26.458300,26.458300,26.458300,26.458300,0.007700,7200
1997-01-01,26.666700,29.166700,23.958300,26.041700,0.007578,2071200
1997-02-01,26.187500,26.208300,26.177099,26.208300,0.007627,223200
1997-03-01,25.520800,30.625000,24.166700,26.041700,0.007578,844800
1997-04-01,26.041700,26.791700,24.375000,26.791700,0.007797,132000
1997-05-01,25.208300,25.208300,25.208300,25.208300,0.007336,2400
1997-06-01,27.718800,36.458302,27.718800,36.145802,0.010519,42000
1997-07-01,35.208302,36.458302,33.541698,34.583302,0.010064,18000
1997-08-01,31.500000,33.333302,31.500000,33.333302,0.009700,202800
1997-09-01,33.541698,36.208302,30.000000,30.791700,0.008961,38400
1997-10-01,30.791700,30.833300,29.208300,29.958300,0.008718,34800
1997-11-01,29.958300,29.958300,28.125000,29.458300,0.008573,144000
1997-12-01,29.416700,29.791700,26.625000,28.916700,0.008415,1443600
1998-01-01,31.458300,33.750000,26.666700,27.708300,0.008063,668400
1998-02-01,27.708300,28.750000,25.833300,28.750000,0.008367,13200
1998-03-01,26.666700,27.500000,21.458300,24.916700,0.007251,20965200
1998-04-01,23.958300,23.958300,20.416700,22.010401,0.006405,2172000
1998-05-01,22.500000,26.291700,21.750000,24.979200,0.007269,6169200
1998-06-01,25.416700,27.000000,19.208300,20.739599,0.006035,4640400
1998-07-01,20.416700,21.041700,18.135401,19.708300,0.005735,1228800
1998-08-01,19.166700,20.770800,18.333300,18.833300,0.005481,2145600
1998-09-01,18.333300,19.083300,17.083300,17.468800,0.006812,2446800
1998-10-01,16.770800,17.416700,15.833300,17.031200,0.006641,2527200
1998-11-01,16.729200,17.791700,16.458300,16.927099,0.006601,2294400
1998-12-01,16.958300,17.812500,16.395800,17.760401,0.006925,2048400
1999-01-01,17.666700,17.958300,14.625000,15.208300,0.005930,1440000
1999-02-01,15.187500,15.291700,11.541700,12.929200,0.005042,1303200
1999-03-01,12.083300,13.750000,11.250000,12.141700,0.004735,2953200
1999-04-01,11.791700,11.791700,9.750000,10.520800,0.004102,1112400
1999-05-01,10.833300,15.520800,10.229200,14.197900,0.005536,13494000
1999-06-01,14.125000,18.125000,13.377100,17.375000,0.006775,8610600
1999-07-01,17.479200,19.958300,16.541700,17.700001,0.027993,3199200
1999-08-01,17.083300,18.645800,15.500000,18.054199,0.028553,2923200
1999-09-01,18.125000,23.708300,17.833300,20.733299,0.032790,9551400
1999-10-01,20.833300,27.083300,20.000000,22.129200,0.034998,4275600
1999-11-01,22.083300,26.166700,20.916700,24.854200,0.039307,2583000
1999-12-01,24.583300,25.833300,20.250000,21.179199,0.033495,5464800
2000-01-01,22.500000,83.333298,20.250000,21.016701,0.033238,3493956
2000-02-01,21.583300,22.500000,16.666700,18.704201,0.029581,4520568
2000-03-01,18.754200,56.250000,13.333300,15.708300,0.031041,3204336
2000-04-01,16.416700,59.849998,12.883300,13.295800,0.026273,1318428
2000-05-01,53.183300,53.183300,10.083300,12.558300,0.024816,13156932
2000-06-01,12.658300,14.083300,11.979200,13.612500,0.039109,9285264
2000-07-01,13.833300,14.250000,12.529200,12.637500,0.036308,2892000
2000-08-01,12.125000,46.133301,11.254200,12.275000,0.035266,1850892
2000-09-01,49.099998,49.099998,10.425000,11.020800,0.031663,5514276
2000-10-01,44.133301,44.133301,9.729170,10.000000,0.028730,1720752
2000-11-01,9.991670,11.475000,9.991670,10.791700,0.031005,5637624
2000-12-01,10.666700,12.233300,10.625000,11.537500,0.033147,8100732
2001-01-01,11.704200,13.875000,11.583300,13.250000,0.038067,14707332
2001-02-01,13.166700,15.333300,12.941700,14.016700,0.040270,14654880
2001-03-01,13.100000,14.958300,11.800000,13.595800,0.039061,6390708
2001-04-01,12.958300,14.250000,12.595800,13.562500,0.038965,3593940
2001-05-01,13.583300,14.120800,12.916700,13.908300,0.039959,2575500
2001-06-01,13.837500,14.150000,12.587500,12.775000,0.036703,3283656
2001-07-01,13.495800,13.495800,11.437500,11.654200,0.033483,221460
2001-08-01,11.666700,12.500000,10.841700,11.320800,0.032525,434364
2001-09-01,11.250000,11.416700,8.504170,11.300000,0.160084,628416
2001-10-01,10.758300,11.666700,10.504200,10.654200,0.150935,747972
2001-11-01,10.745800,11.558300,10.500000,11.312500,0.160261,1054992
2001-12-01,11.425000,12.245800,10.550000,10.862500,0.153886,591156
2002-01-01,10.962500,11.645800,10.879200,11.275000,0.159730,1350876
2002-02-01,11.333300,18.658300,11.333300,13.879200,0.196623,20496720
2002-03-01,13.750000,16.991699,13.750000,16.670799,0.236170,5849340
2002-04-01,16.916700,21.008301,16.833300,17.533300,0.248389,25281960
2002-05-01,17.708300,18.583300,15.512500,16.591700,0.235050,6159996
2002-06-01,16.833300,17.916700,16.000000,16.650000,0.235876,4250052
2002-07-01,16.583300,17.375000,16.250000,16.645800,0.235816,4958484
2002-08-01,17.166700,88.333298,16.549999,81.000000,1.147503,66279672
2002-09-01,21.000000,21.000000,16.504200,17.204201,0.243727,8405124
2002-10-01,17.104200,19.491699,16.750000,17.958300,0.619431,5172900
2002-11-01,18.191700,19.333300,17.916700,18.358299,0.633228,7487340
2002-12-01,18.450001,78.016701,18.308300,19.858299,0.684968,6503856
2003-01-01,19.833300,21.200001,19.641701,20.108299,0.693591,9538740
2003-02-01,19.750000,81.666702,19.745800,20.008301,0.690142,3646212
2003-03-01,19.858299,76.666702,18.875000,19.354200,0.888511,2001504
2003-04-01,19.375000,79.716698,19.333300,19.679199,0.903431,2073732
2003-05-01,78.716698,78.716698,19.916700,29.654200,1.361363,24120444
2003-06-01,30.408300,35.775002,29.908300,33.995800,1.560677,94825920
2003-07-01,34.083302,39.337502,31.666700,36.245800,1.663970,33461880
2003-08-01,36.583302,166.475006,36.000000,48.012501,2.204154,49901012
2003-09-01,48.750000,51.875000,40.781200,47.212502,2.167428,40274352
2003-10-01,47.474998,192.024994,40.825001,43.424999,3.090605,46541048
2003-11-01,43.000000,182.550003,42.250000,47.231300,3.361503,57429856
2003-12-01,47.687500,215.149994,46.437500,57.118801,4.065208,71863904
2004-01-01,57.437500,233.125000,52.875000,55.468800,3.947776,92980200
2004-02-01,221.875000,221.875000,50.875000,56.537498,4.409861,64450568
2004-03-01,57.174999,235.649994,54.337502,62.031200,4.838363,69431016
2004-04-01,62.062500,282.424988,62.062500,64.599998,5.038728,57640688
2004-05-01,65.000000,68.112503,34.381199,41.831200,3.262786,51998320
2004-06-01,41.943699,50.612499,41.943699,46.062500,3.592824,42246880
2004-07-01,45.750000,50.468800,39.581200,50.018700,3.901403,36933136
2004-08-01,50.412498,53.462502,45.674999,50.762501,3.959419,36175600
2004-09-01,51.250000,55.750000,50.000000,54.831200,6.401050,25786920
2004-10-01,54.750000,216.875000,51.687500,53.943699,6.297445,26657016
2004-11-01,53.125000,234.300003,52.625000,55.093800,6.431709,18310632
2004-12-01,55.875000,68.250000,55.075001,64.143799,7.488213,23205456
2005-01-01,64.375000,221.175003,54.125000,56.812500,7.122577,19416552
2005-02-01,57.125000,64.962502,55.893700,61.431301,7.701637,20362504
2005-03-01,61.125000,215.750000,52.625000,54.818699,6.872614,25609656
2005-04-01,54.000000,224.600006,53.531200,54.831200,6.874180,5468016
2005-05-01,55.000000,58.856300,53.250000,57.924999,7.262051,9440216
2005-06-01,58.125000,59.125000,52.750000,53.031200,6.648518,8589456
2005-07-01,53.750000,202.699997,48.875000,50.137501,6.285735,7858904
2005-08-01,48.875000,206.500000,48.750000,52.343800,6.562336,11506728
2005-09-01,52.375000,214.875000,52.262501,56.468800,7.079489,23499592
2005-10-01,56.750000,232.225006,54.450001,55.106300,8.488923,15895848
2005-11-01,56.112499,226.274994,55.500000,66.362503,10.222900,14315456
2005-12-01,66.375000,71.125000,62.549999,69.606201,10.722581,16017184
2006-01-01,69.375000,276.600006,63.018700,63.775002,9.824306,9661240
2006-02-01,63.750000,262.600006,60.150002,69.425003,10.694668,26139432
2006-03-01,68.750000,278.500000,67.500000,73.018799,11.248277,16403872
2006-04-01,74.000000,302.225006,65.625000,70.531197,10.865068,16405000
2006-05-01,71.125000,74.800003,55.500000,57.193699,8.810478,11183720
2006-06-01,58.737499,58.737499,38.750000,50.000000,7.702315,22708520
2006-07-01,51.125000,54.875000,44.012501,48.631199,7.491458,8606760
2006-08-01,49.375000,211.850006,46.887501,61.881199,9.532571,18683296
2006-09-01,61.625000,68.731201,56.237499,65.437500,10.080405,23418352
2006-10-01,261.750000,264.274994,63.750000,64.106201,12.205236,8546440
2006-11-01,64.750000,66.312500,55.000000,55.537498,10.573833,10452016
2006-12-01,55.537498,223.024994,48.625000,56.256199,10.710667,7945072
2007-01-01,225.024994,248.875000,55.506199,61.912498,13.213850,10816488
2007-02-01,62.000000,213.774994,50.000000,51.743801,11.043570,4335872
2007-03-01,53.250000,208.350006,49.437500,49.950001,10.660721,5860952
2007-04-01,50.000000,195.000000,47.500000,55.025002,11.743869,8955328
2007-05-01,220.100006,220.100006,55.000000,58.318699,12.446835,14397880
2007-06-01,59.368801,61.250000,52.250000,55.400002,11.823903,12245672
2007-07-01,55.375000,58.087502,49.250000,50.362499,10.748758,14477344
2007-08-01,49.875000,199.600006,46.250000,48.381199,10.325896,17345928
2007-09-01,48.381199,60.375000,48.000000,58.806301,12.550900,23292304
2007-10-01,60.000000,245.725006,52.562500,60.212502,17.291248,27355856
2007-11-01,60.500000,81.281197,58.156200,67.675003,19.434258,46461696
2007-12-01,67.937500,325.000000,67.937500,99.281197,28.510624,65784744
2008-01-01,100.000000,101.125000,44.375000,60.068699,17.249949,54623792
2008-02-01,60.893700,72.675003,57.500000,70.074997,20.123465,41174880
2008-03-01,68.625000,263.200012,52.474998,55.700001,15.995389,18075960
2008-04-01,56.500000,226.250000,53.849998,57.581200,16.535616,17584464
2008-05-01,58.250000,61.250000,48.875000,53.168800,15.268504,32659264
2008-06-01,53.500000,56.612499,41.200001,41.531200,11.926531,30561768
2008-07-01,41.500000,51.875000,37.875000,50.406200,14.475165,16047224
2008-08-01,50.250000,221.750000,48.750000,200.725006,57.642281,14889428
2008-09-01,50.125000,56.625000,46.250000,50.643700,14.543369,24941752
2008-10-01,50.500000,52.500000,37.375000,42.306301,13.523663,23234760
2008-11-01,43.250000,51.750000,41.262501,51.174999,16.358639,7314672
2008-12-01,51.275002,206.574997,46.268700,53.281200,17.031908,28553616
2009-01-01,52.750000,210.574997,51.268700,55.793800,17.835089,11730176
2009-02-01,55.174999,58.337502,53.818699,54.256199,17.343576,6205736
2009-03-01,54.156200,56.268700,47.375000,48.418800,15.477587,7545008
2009-04-01,48.750000,221.774994,48.625000,221.774994,70.892761,8452504
2009-05-01,221.774994,221.774994,51.375000,76.162498,24.346159,26053280
2009-06-01,78.125000,79.162498,62.500000,66.506203,21.259420,39760216
2009-07-01,66.750000,71.837502,64.125000,68.381203,21.858784,24907592
2009-08-01,68.750000,74.625000,66.625000,72.306297,23.113482,26914632
2009-09-01,72.625000,341.875000,71.875000,85.068703,27.193123,32790248
2009-10-01,84.625000,328.250000,68.062500,78.525002,27.945704,17210952
2009-11-01,314.100006,314.100006,70.050003,72.312500,25.734785,14238276
2009-12-01,72.625000,307.700012,72.324997,76.574997,27.251732,16520520
2010-01-01,306.299988,306.450012,73.849998,75.324997,26.806883,11898528
2010-02-01,75.500000,83.500000,75.125000,79.449997,28.274897,13994116
2010-03-01,79.949997,79.949997,73.125000,74.187500,26.402061,9513440
2010-04-01,75.000000,75.000000,68.500000,73.662498,26.215227,8724588
2010-05-01,75.375000,88.699997,72.525002,88.262497,31.411119,20984140
2010-06-01,88.737503,104.525002,80.562500,100.650002,35.819614,66293584
2010-07-01,100.000000,102.250000,88.000000,90.474998,32.198505,34884948
2010-08-01,91.250000,104.224998,77.474998,102.625000,36.522484,22512596
2010-09-01,103.500000,114.724998,102.175003,104.625000,37.234245,25818796
2010-10-01,104.750000,108.750000,100.250000,104.637001,42.428566,13174912
2010-11-01,105.387001,107.500000,82.250000,86.537498,35.089508,10642948
2010-12-01,86.750000,101.425003,84.250000,85.750000,34.770199,21462148
2011-01-01,87.000000,88.824997,75.574997,84.099998,34.101147,14623888
2011-02-01,83.500000,84.375000,72.500000,74.750000,30.309881,10142300
2011-03-01,75.574997,85.974998,74.000000,83.562500,33.883194,10190304
2011-04-01,83.750000,86.000000,80.324997,85.000000,34.466084,5127740
2011-05-01,85.412498,89.500000,74.550003,81.750000,33.148262,12115228
2011-06-01,81.750000,90.000000,77.750000,84.412498,34.227867,9486148
2011-07-01,85.000000,85.862503,78.425003,78.762497,31.936882,3616572
2011-08-01,79.387497,86.125000,75.849998,76.637497,31.075230,12340696
2011-09-01,76.750000,82.199997,76.300003,77.637497,31.480711,4731892
2011-10-01,77.625000,80.862503,71.650002,72.762497,33.476871,6317724
2011-11-01,72.750000,77.000000,63.612499,65.500000,30.135511,6531236
2011-12-01,63.750000,69.525002,62.250000,63.437500,29.186594,4661184
2012-01-01,63.775002,72.937500,61.837502,72.125000,33.183575,3504884
2012-02-01,72.000000,72.812500,66.250000,70.849998,32.596954,7670500
2012-03-01,72.000000,72.474998,62.349998,65.650002,30.204527,4842676
2012-04-01,65.550003,67.062500,62.125000,66.162498,30.440321,4559320
2012-05-01,66.162498,71.487503,62.500000,63.974998,29.433884,6727432
2012-06-01,63.750000,67.224998,59.750000,63.987499,29.439642,7188752
2012-07-01,63.737499,69.137497,63.150002,67.550003,31.078699,3236524
2012-08-01,67.287498,67.900002,60.000000,61.025002,28.076639,3068588
2012-09-01,61.000000,67.474998,60.037498,62.637501,28.818523,4384336
2012-10-01,62.750000,66.537498,62.650002,65.087502,32.620052,3022172
2012-11-01,65.187500,67.000000,63.525002,65.849998,33.002197,2055700
2012-12-01,65.750000,68.000000,64.025002,67.437500,33.797810,3777800
2013-01-01,67.487503,93.750000,66.287498,81.824997,41.008430,28587108
2013-02-01,82.000000,85.312500,72.375000,73.212502,36.692078,9831668
2013-03-01,73.250000,79.737503,67.525002,70.362503,35.263737,5875400
2013-04-01,70.537498,77.275002,69.500000,74.724998,37.450100,5092724
2013-05-01,74.724998,80.112503,71.250000,71.425003,35.796242,7170424
2013-06-01,72.750000,72.750000,54.724998,58.637501,29.387493,6360140
2013-07-01,59.000000,60.412498,46.549999,51.424999,25.772787,5794076
2013-08-01,51.424999,54.450001,46.937500,52.337502,26.230104,6652120
2013-09-01,53.474998,59.537498,51.112499,52.012501,29.541924,7003700
2013-10-01,52.000000,53.562500,49.187500,50.500000,28.682856,5316276
2013-11-01,50.900002,55.387501,49.025002,50.424999,28.640257,5578068
2013-12-01,50.525002,54.062500,49.000000,53.512501,30.393888,4600752
2014-01-01,53.775002,61.762501,48.625000,61.325001,34.831219,9508688
2014-02-01,61.000000,65.500000,58.375000,62.025002,35.228794,4388892
2014-03-01,62.025002,72.250000,60.375000,69.750000,39.616425,8325152
2014-04-01,69.762497,71.750000,64.699997,65.662498,37.294811,4830808
2014-05-01,65.662498,95.250000,65.662498,90.212502,51.238659,15079668
