Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,809.000000,892.000000,760.000000,856.000000,507.355255,47817000
2000-02-01,837.000000,920.000000,808.000000,811.000000,480.683472,55353000
2000-03-01,816.000000,954.000000,785.000000,931.000000,551.808228,63792000
2000-04-01,931.000000,999.000000,873.000000,940.000000,559.629822,57045000
2000-05-01,955.000000,999.000000,871.000000,894.000000,532.243530,29563000
2000-06-01,884.000000,981.000000,850.000000,959.000000,570.941284,34602000
2000-07-01,959.000000,967.000000,790.000000,822.000000,489.378265,27901000
2000-08-01,818.000000,894.000000,778.000000,780.000000,464.373444,42854000
2000-09-01,790.000000,900.000000,755.000000,870.000000,517.955139,47845000
2000-10-01,887.000000,920.000000,820.000000,900.000000,538.293518,26304000
2000-11-01,901.000000,945.000000,795.000000,848.000000,507.191833,42861000
2000-12-01,828.000000,892.000000,764.000000,842.000000,503.603333,39727000
2001-01-01,842.000000,862.000000,776.000000,815.000000,487.454681,28635000
2001-02-01,810.000000,841.000000,784.000000,819.000000,489.846954,31194000
2001-03-01,812.000000,870.000000,693.000000,833.000000,498.220459,52451000
2001-04-01,823.000000,934.000000,786.000000,930.000000,558.898071,58987000
2001-05-01,930.000000,993.000000,892.000000,944.000000,567.311707,44376940
2001-06-01,964.000000,1028.000000,938.000000,1005.000000,603.970581,80544000
2001-07-01,1015.000000,1078.000000,919.000000,978.000000,587.744568,74409000
2001-08-01,968.000000,1108.000000,940.000000,990.000000,594.955872,64701000
2001-09-01,1000.000000,1000.000000,773.000000,805.000000,483.777191,56735000
2001-10-01,882.000000,983.000000,861.000000,938.000000,566.630127,44557000
2001-11-01,958.000000,970.000000,776.000000,856.000000,517.095459,55009000
2001-12-01,859.000000,867.000000,722.000000,851.000000,514.074951,61364000
2002-01-01,851.000000,885.000000,800.000000,831.000000,501.993256,44608000
2002-02-01,848.000000,953.000000,811.000000,929.000000,561.193481,58685000
2002-03-01,919.000000,1037.000000,913.000000,941.000000,568.442383,80981000
2002-04-01,948.000000,1021.000000,897.000000,963.000000,584.215820,70573000
2002-05-01,976.000000,1069.000000,928.000000,948.000000,575.115906,135179000
2002-06-01,944.000000,962.000000,811.000000,867.000000,525.976257,96845000
2002-07-01,865.000000,893.000000,690.000000,741.000000,449.536743,127990000
2002-08-01,731.000000,830.000000,710.000000,794.000000,481.689880,101026000
2002-09-01,791.000000,849.000000,721.000000,818.000000,496.249695,77172000
2002-10-01,825.000000,843.000000,723.000000,765.000000,466.405579,84050000
2002-11-01,765.000000,815.000000,728.000000,772.000000,470.673187,70373000
2002-12-01,772.000000,772.000000,713.000000,725.000000,442.018188,64545000
2003-01-01,725.000000,803.000000,697.000000,770.000000,469.453949,112875000
2003-02-01,768.000000,845.000000,759.000000,791.000000,482.257263,75400000
2003-03-01,794.000000,811.000000,730.000000,732.000000,446.286133,70076000
2003-04-01,730.000000,757.000000,678.000000,709.000000,434.547638,80958000
2003-05-01,695.000000,760.000000,688.000000,747.000000,457.837799,93043000
2003-06-01,750.000000,858.000000,740.000000,833.000000,510.547394,93580000
2003-07-01,840.000000,948.000000,840.000000,873.000000,535.063477,99382000
2003-08-01,883.000000,1024.000000,850.000000,986.000000,604.321472,91685000
2003-09-01,999.000000,1054.000000,957.000000,957.000000,586.547119,85072000
2003-10-01,960.000000,1245.000000,957.000000,1141.000000,702.112854,121991000
2003-11-01,1141.000000,1165.000000,970.000000,1005.000000,618.425354,88361000
2003-12-01,995.000000,1146.000000,986.000000,1136.000000,699.036194,92308000
2004-01-01,1136.000000,1178.000000,1041.000000,1069.000000,657.807861,93401000
2004-02-01,1058.000000,1087.000000,987.000000,1078.000000,663.345886,93920000
2004-03-01,1090.000000,1236.000000,1080.000000,1230.000000,756.878906,135338000
